fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_lying,recall_lying,f1_lying,precision_running,recall_running,f1_running,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_walking,recall_walking,f1_walking
1,random_forest,0.899571632555926,0.926230206303698,0.900376807639456,0.901820084794022,0.992753623188406,0.990361445783133,0.991556091676719,0.672787979966611,0.997524752475248,0.803589232303091,0.995283018867925,0.967889908256881,0.981395348837209,0.970326409495549,0.77122641509434,0.859395532194481,1,0.774881516587678,0.873164218958612
1,svm,0.956211327939077,0.958955172831429,0.956769488104397,0.956568782870009,0.974056603773585,0.995180722891566,0.98450536352801,0.985330073349633,0.997524752475248,0.991389913899139,0.872916666666667,0.961009174311927,0.914847161572052,0.964864864864865,0.841981132075472,0.899244332493703,0.997607655502392,0.988151658767773,0.992857142857143
1,xgboost,0.939076630176107,0.947813430527203,0.939692237268471,0.939312057875643,1,0.990361445783133,0.995157384987893,0.985330073349633,0.997524752475248,0.991389913899139,0.800376647834275,0.974770642201835,0.879007238883144,0.96048632218845,0.745283018867925,0.839309428950863,0.992874109263658,0.990521327014218,0.991696322657177
2,random_forest,0.811852704257768,0.844991582491583,0.83757148013864,0.747418855746009,1,0.997560975609756,0.998778998778999,0.247685185185185,0.990740740740741,0.396296296296296,1,0.990196078431373,0.995073891625616,0.977272727272727,0.211822660098522,0.348178137651822,1,0.997536945812808,0.998766954377312
2,svm,0.99482163406214,0.989105761731192,0.994216920484669,0.991592788050643,0.997566909975669,1,0.99878197320341,0.955357142857143,0.990740740740741,0.972727272727273,0.997530864197531,0.990196078431373,0.993849938499385,0.995073891625616,0.995073891625616,0.995073891625616,1,0.995073891625616,0.997530864197531
2,xgboost,0.773302646720368,0.841481291311705,0.80553686309586,0.698238749521689,0.997448979591837,0.953658536585366,0.975062344139651,0.214859437751004,0.990740740740741,0.353135313531353,1,0.0931372549019608,0.170403587443946,1,0.990147783251232,0.995049504950495,0.995098039215686,1,0.997542997542998
3,random_forest,0.844020009095043,0.854387502371702,0.841755258452029,0.840207945771997,1,0.985611510791367,0.992753623188406,0.624242424242424,0.822355289421158,0.709732988802756,1,0.992805755395684,0.996389891696751,0.656603773584906,0.421307506053269,0.513274336283186,0.99109131403118,0.98669623059867,0.988888888888889
3,svm,0.728058208276489,0.812868667056537,0.718596124438747,0.682326252649711,0.973995271867612,0.988009592326139,0.980952380952381,0.461178671655753,0.984031936127745,0.628025477707006,0.992805755395684,0.992805755395684,0.992805755395684,0.636363636363636,0.0338983050847458,0.064367816091954,1,0.594235033259424,0.74547983310153
3,xgboost,0.738972260118236,0.830990021877796,0.741882263835489,0.740280806096513,0.947126436781609,0.988009592326139,0.967136150234742,0.468996617812852,0.830339321357285,0.599423631123919,1,0.985611510791367,0.992753623188406,0.759375,0.588377723970944,0.663028649386085,0.979452054794521,0.317073170731707,0.479061976549414
4,random_forest,0.607097591888467,0.634752350508487,0.620434919152332,0.599717142349376,0.618364418938307,0.96420581655481,0.753496503496504,0.987460815047022,0.455861070911722,0.623762376237624,0.357142857142857,0.428571428571429,0.38961038961039,0.251173708920188,0.268170426065163,0.259393939393939,0.959619952494062,0.985365853658537,0.972322503008424
