fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_lying,recall_lying,f1_lying,precision_running,recall_running,f1_running,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_walking,recall_walking,f1_walking
1,RandomForest,0.7677296525464065,0.8795446604993213,0.7693420997244184,0.7646597853221191,0.9903614457831326,0.9903614457831326,0.9903614457831326,0.459954233409611,0.995049504950495,0.6291079812206573,0.9976359338061466,0.9678899082568807,0.9825378346915018,0.9497716894977168,0.49056603773584906,0.6469673405909798,1.0,0.4028436018957346,0.5743243243243243
1,SVM,0.9500237981913374,0.9528409108928229,0.9505880962072013,0.9492052707639417,0.9763593380614657,0.9951807228915662,0.9856801909307876,0.8481012658227848,0.995049504950495,0.9157175398633257,0.9813519813519813,0.9655963302752294,0.9734104046242774,0.9607843137254902,0.8089622641509434,0.8783610755441741,0.9976076555023924,0.9881516587677726,0.9928571428571429
1,XGBoost,0.8372203712517848,0.8514000819726988,0.838745657423203,0.8044127619635499,0.8879310344827587,0.9927710843373494,0.9374288964732651,0.7045454545454546,0.9975247524752475,0.8258196721311475,0.8064516129032258,0.9747706422018348,0.8826583592938733,0.8629032258064516,0.25235849056603776,0.3905109489051095,0.9951690821256038,0.976303317535545,0.9856459330143541
2,RandomForest,0.9948216340621404,0.9891202090592334,0.9942241412030656,0.9915939893612096,1.0,0.9975609756097561,0.9987789987789988,0.9553571428571429,0.9907407407407407,0.9727272727272728,1.0,0.9877450980392157,0.9938347718865598,0.9902439024390244,1.0,0.9950980392156863,1.0,0.9950738916256158,0.9975308641975309
2,SVM,0.9953970080552359,0.9933938340422859,0.994714337281497,0.9940424020057164,1.0,0.9975609756097561,0.9987789987789988,0.981651376146789,0.9907407407407407,0.9861751152073732,0.9950738916256158,0.9901960784313726,0.9926289926289926,0.9902439024390244,1.0,0.9950980392156863,1.0,0.9950738916256158,0.9975308641975309
2,XGBoost,0.6058688147295742,0.793262663424165,0.6618856885806373,0.5467322988116223,1.0,0.9975609756097561,0.9987789987789988,0.13544303797468354,0.9907407407407407,0.2383073496659243,1.0,0.3112745098039216,0.4747663551401869,0.8333333333333334,0.012315270935960592,0.024271844660194174,0.9975369458128078,0.9975369458128078,0.9975369458128078
3,RandomForest,0.944974988631196,0.9503513815721849,0.9499895032013381,0.9469652166141713,0.9975728155339806,0.9856115107913669,0.991556091676719,0.9640287769784173,0.8023952095808383,0.8758169934640523,1.0,0.9928057553956835,0.9963898916967509,0.8011928429423459,0.9757869249394673,0.8799126637554585,0.9889624724061811,0.9933481152993349,0.9911504424778761
3,SVM,0.933606184629377,0.9376480340501964,0.9382185600944327,0.9360085030274551,0.9951690821256038,0.988009592326139,0.9915764139590855,0.9149425287356322,0.7944111776447106,0.8504273504273504,0.9975903614457832,0.9928057553956835,0.9951923076923077,0.7871900826446281,0.9225181598062954,0.8494983277591973,0.9933481152993349,0.9933481152993349,0.9933481152993349
3,XGBoost,0.946793997271487,0.9524351551827829,0.9521863741136498,0.9485378996657012,0.988009592326139,0.988009592326139,0.988009592326139,0.9755501222493888,0.7964071856287425,0.8769230769230769,1.0,0.988009592326139,0.9939686369119421,0.8074656188605108,0.9951573849878934,0.8915401301518439,0.9911504424778761,0.9933481152993349,0.9922480620155039
4,RandomForest,0.6844106463878327,0.7233218540729835,0.7077651547509725,0.680350055346896,0.9818181818181818,0.9664429530201343,0.9740698985343855,0.9967637540453075,0.44573082489146165,0.616,0.5208596713021492,0.9809523809523809,0.6804293971924029,0.15517241379310345,0.15789473684210525,0.1565217391304348,0.9619952494061758,0.9878048780487805,0.9747292418772563
