context,experiment,body_part_count,body_part_mode,model,macro_f1_mean,context_label,model_label
light,first_6_parts_plus_light,6,progressive,xgboost,0.8206133490388496,Baseline + light,XGBoost
light,standard,7,all_7,xgboost,0.8246502119669867,Baseline + light,XGBoost
mic,first_2_parts_plus_mic,2,progressive,random_forest,0.8204771950845656,Baseline + microphone,Random Forest
mic,first_3_parts_plus_mic,3,progressive,random_forest,0.8164413797718061,Baseline + microphone,Random Forest
mic,first_4_parts_plus_mic,4,progressive,random_forest,0.8164860394720495,Baseline + microphone,Random Forest
mic,first_5_parts_plus_mic,5,progressive,random_forest,0.8214085050427412,Baseline + microphone,Random Forest
mic,first_6_parts_plus_mic,6,progressive,random_forest,0.8252818810793267,Baseline + microphone,Random Forest
mic,standard,7,all_7,random_forest,0.8215078615161369,Baseline + microphone,Random Forest
mic,first_2_parts_plus_mic,2,progressive,svm,0.8023516947147857,Baseline + microphone,SVM
mic,first_3_parts_plus_mic,3,progressive,svm,0.8087590388257475,Baseline + microphone,SVM
mic,first_4_parts_plus_mic,4,progressive,svm,0.8350649238142658,Baseline + microphone,SVM
mic,first_5_parts_plus_mic,5,progressive,svm,0.8969717523858735,Baseline + microphone,SVM
mic,first_6_parts_plus_mic,6,progressive,svm,0.8936264039395015,Baseline + microphone,SVM
mic,standard,7,all_7,svm,0.887146613888547,Baseline + microphone,SVM
mic,first_2_parts_plus_mic,2,progressive,xgboost,0.7867554774442795,Baseline + microphone,XGBoost
mic,first_3_parts_plus_mic,3,progressive,xgboost,0.7962120767048185,Baseline + microphone,XGBoost
mic,first_4_parts_plus_mic,4,progressive,xgboost,0.7933001903313842,Baseline + microphone,XGBoost
mic,first_5_parts_plus_mic,5,progressive,xgboost,0.8097502100925783,Baseline + microphone,XGBoost
mic,first_6_parts_plus_mic,6,progressive,xgboost,0.8344534845585259,Baseline + microphone,XGBoost
mic,standard,7,all_7,xgboost,0.8349803524660543,Baseline + microphone,XGBoost
