context,experiment,body_part_count,body_part_mode,body_part,model,macro_f1_mean,context_label,model_label,rank
light,first_3_parts_plus_light,3,progressive,first_3,svm,0.8091252832336784,Baseline + light,SVM,63
mic,first_3_parts_plus_mic,3,progressive,first_3,svm,0.8087590388257475,Baseline + microphone,SVM,64
mic,only_forearm_plus_mic,1,single,forearm,xgboost,0.808655706058515,Baseline + microphone,XGBoost,65
all_context,only_forearm_plus_all,1,single,forearm,random_forest,0.8078214585888309,Baseline + all context,Random Forest,66
light,first_5_parts_plus_light,5,progressive,first_5,xgboost,0.8067920257765887,Baseline + light,XGBoost,67
gps,first_3_parts_plus_gps,3,progressive,first_3,random_forest,0.8064268886058711,Baseline + GPS,Random Forest,68
baseline,only_forearm,1,single,forearm,random_forest,0.8061700386859427,Baseline,Random Forest,69
baseline,first_3_body_parts,3,progressive,first_3,svm,0.8060351108738667,Baseline,SVM,70
all_context,first_3_parts_plus_all,3,progressive,first_3,svm,0.804480889662191,Baseline + all context,SVM,71
baseline,first_2_body_parts,2,progressive,first_2,random_forest,0.8043670189565185,Baseline,Random Forest,72
gps,first_4_parts_plus_gps,4,progressive,first_4,random_forest,0.8028155110047609,Baseline + GPS,Random Forest,73
light,first_2_parts_plus_light,2,progressive,first_2,svm,0.8023838194428865,Baseline + light,SVM,74
mic,first_2_parts_plus_mic,2,progressive,first_2,svm,0.8023516947147857,Baseline + microphone,SVM,75
gps,first_3_parts_plus_gps,3,progressive,first_3,svm,0.8019435801893201,Baseline + GPS,SVM,76
all_context,only_forearm_plus_all,1,single,forearm,svm,0.8017145713068693,Baseline + all context,SVM,77
all_context,first_2_parts_plus_all,2,progressive,first_2,svm,0.801549971503946,Baseline + all context,SVM,78
baseline,first_2_body_parts,2,progressive,first_2,svm,0.801082584726799,Baseline,SVM,79
baseline,first_5_body_parts,5,progressive,first_5,xgboost,0.8009975136343317,Baseline,XGBoost,80
light,first_4_parts_plus_light,4,progressive,first_4,xgboost,0.7989154636726014,Baseline + light,XGBoost,81
light,only_forearm_plus_light,1,single,forearm,random_forest,0.7975716067491037,Baseline + light,Random Forest,82
mic,first_3_parts_plus_mic,3,progressive,first_3,xgboost,0.7962120767048185,Baseline + microphone,XGBoost,83
baseline,first_2_body_parts,2,progressive,first_2,xgboost,0.7957925945968738,Baseline,XGBoost,84
gps,only_forearm_plus_gps,1,single,forearm,random_forest,0.7950226996297717,Baseline + GPS,Random Forest,85
mic,first_4_parts_plus_mic,4,progressive,first_4,xgboost,0.7933001903313842,Baseline + microphone,XGBoost,86
baseline,first_4_body_parts,4,progressive,first_4,xgboost,0.7918929448066182,Baseline,XGBoost,87
light,first_3_parts_plus_light,3,progressive,first_3,xgboost,0.7907931044987652,Baseline + light,XGBoost,88
gps,first_2_parts_plus_gps,2,progressive,first_2,svm,0.7887951799545635,Baseline + GPS,SVM,89
all_context,first_2_parts_plus_all,2,progressive,first_2,random_forest,0.788755079821739,Baseline + all context,Random Forest,90
mic,first_2_parts_plus_mic,2,progressive,first_2,xgboost,0.7867554774442795,Baseline + microphone,XGBoost,91
gps,first_2_parts_plus_gps,2,progressive,first_2,random_forest,0.783583509572039,Baseline + GPS,Random Forest,92
light,first_2_parts_plus_light,2,progressive,first_2,random_forest,0.7825889793083507,Baseline + light,Random Forest,93
baseline,first_3_body_parts,3,progressive,first_3,xgboost,0.7800278488153799,Baseline,XGBoost,94
gps,first_4_parts_plus_gps,4,progressive,first_4,xgboost,0.7761321857758495,Baseline + GPS,XGBoost,95
all_context,first_4_parts_plus_all,4,progressive,first_4,xgboost,0.7748526724033038,Baseline + all context,XGBoost,96
gps,only_forearm_plus_gps,1,single,forearm,svm,0.7711550425912449,Baseline + GPS,SVM,97
