model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,context,experiment,body_part_count,body_part_mode,body_part
random_forest,0.8104846789020635,0.1658197252969876,0.8245921697675912,0.2011179845887556,0.8159786420793161,0.1645878499310471,0.788755079821739,0.1957775640077208,all_context,first_2_parts_plus_all,2,progressive,first_2
svm,0.8222987336667502,0.1767713900083934,0.8285952150695418,0.1606204208412332,0.824454002320095,0.1753676156382182,0.801549971503946,0.1944314059515274,all_context,first_2_parts_plus_all,2,progressive,first_2
xgboost,0.7826876973225952,0.1656026564306457,0.8163488254430147,0.1476223388547965,0.7888554115806369,0.1634840196598239,0.7517054517950107,0.1807286928064242,all_context,first_2_parts_plus_all,2,progressive,first_2
random_forest,0.8295224864163983,0.1650753039945658,0.843008214420064,0.2013696204132581,0.8360949365917771,0.1629568822241033,0.8125686913313601,0.1959552763866698,all_context,first_3_parts_plus_all,3,progressive,first_3
svm,0.8239895169545363,0.1534219832700042,0.8278430767244509,0.162390191869041,0.8277954429877499,0.1511444447926875,0.804480889662191,0.170121466915016,all_context,first_3_parts_plus_all,3,progressive,first_3
xgboost,0.8001515421266298,0.1454386816176736,0.819762744403679,0.1447880430178655,0.8066292437423013,0.1432125038731304,0.7674544373202322,0.1715325840651473,all_context,first_3_parts_plus_all,3,progressive,first_3
random_forest,0.8296824691456348,0.1615138103399979,0.8390380318965405,0.2040013558926299,0.8359970727892214,0.1594611824471098,0.8107025118131144,0.1950547436472414,all_context,first_4_parts_plus_all,4,progressive,first_4
svm,0.83874719760124,0.1268595408814332,0.8450923129969837,0.1426187769048466,0.8431404316213398,0.1249501499024138,0.8218430387292073,0.1428985393909062,all_context,first_4_parts_plus_all,4,progressive,first_4
xgboost,0.8025106394977475,0.1410537688840795,0.8219810539364196,0.151302433598848,0.8090181524312958,0.1395943632516089,0.7748526724033038,0.1630514347502461,all_context,first_4_parts_plus_all,4,progressive,first_4
random_forest,0.8394707444008855,0.1849283902166794,0.8639022051395712,0.1752001960577582,0.8458974146271357,0.183159487078112,0.8263311739860975,0.2131192426709007,all_context,first_5_parts_plus_all,5,progressive,first_5
svm,0.892813623309008,0.1217685373594106,0.8926407128430439,0.1390994587306745,0.8971606009307659,0.1204250230693582,0.8823997316288923,0.1421733519965694,all_context,first_5_parts_plus_all,5,progressive,first_5
xgboost,0.8613696495089115,0.134398211481162,0.872425217620407,0.144152038850222,0.8688547308919305,0.1332347192276034,0.8472169485725772,0.1519888758510482,all_context,first_5_parts_plus_all,5,progressive,first_5
random_forest,0.8450581236127689,0.1452088298736171,0.8599651385300692,0.1566368156800973,0.8524642414626931,0.1446637581643244,0.8331717252905305,0.1647994591512537,all_context,first_6_parts_plus_all,6,progressive,first_6
svm,0.8959100462660189,0.1150082864712055,0.9014136555556618,0.1320795041221525,0.901417018190482,0.1133418290921837,0.8870938794277372,0.1346918306374667,all_context,first_6_parts_plus_all,6,progressive,first_6
xgboost,0.8663283424137347,0.1323548168564856,0.8750428036021238,0.1438386578775682,0.8741830743608848,0.1304912129016905,0.8527850383453683,0.1491240933522453,all_context,first_6_parts_plus_all,6,progressive,first_6
random_forest,0.849117197700383,0.157055287131574,0.855202945459191,0.168735596330163,0.854343970985703,0.155210637626815,0.836120850804141,0.174431759397436,all_context,standard,7,all_7,all_7
svm,0.893983330566337,0.113934843877677,0.902279097303926,0.113148077482559,0.897748856395629,0.113164955322457,0.883568735049787,0.138859879417624,all_context,standard,7,all_7,all_7
xgboost,0.860376793872718,0.140069811611467,0.865786288538602,0.158660936276478,0.866924872570554,0.137009273981292,0.841341891075651,0.164572307086455,all_context,standard,7,all_7,all_7
random_forest,0.7323717379779935,0.1470551761398252,0.7340807649980337,0.1767732955673231,0.7369781019995327,0.1448079126757782,0.6912001987630754,0.1678375262882274,baseline,only_chest,1,single,chest
random_forest,0.8211143707672813,0.0975655933503759,0.8404610020172832,0.0880002656579331,0.825803855908298,0.093129703437491,0.8061700386859427,0.1059428688120506,baseline,only_forearm,1,single,forearm
random_forest,0.7194028561186915,0.1289464595965276,0.7086741947188934,0.1425030782855179,0.7240203657660877,0.1314632849832555,0.6932023176288078,0.1378704719017887,baseline,only_head,1,single,head
random_forest,0.781496605912864,0.1667732253333846,0.7965404932386699,0.1692590561309293,0.7828304231128647,0.1656595949177018,0.7674855518212964,0.1833944460520485,baseline,only_shin,1,single,shin
random_forest,0.71069456734387,0.2292392483444494,0.7277346216693005,0.2391565141270694,0.7224276330495566,0.2141877767256626,0.6730502210221231,0.2581339900387999,baseline,only_thigh,1,single,thigh
random_forest,0.7580608812478693,0.1420468622866854,0.7569303580558084,0.1692116685411074,0.7650761396008711,0.1405707857946783,0.7255111747163693,0.1676447070566286,baseline,only_upperarm,1,single,upperarm
random_forest,0.7505035342303572,0.1015695162378436,0.7415681034280814,0.1433153684640738,0.7543392697428186,0.0960521007513527,0.7062719619362794,0.1246955431502311,baseline,only_waist,1,single,waist
svm,0.7380447444133418,0.1902045005289276,0.7315282716607528,0.1957406237714194,0.7395686105880451,0.188516245034536,0.7115827429561761,0.1961339862928711,baseline,only_chest,1,single,chest
svm,0.8322249015961029,0.1191539548996971,0.8414319997454587,0.1096885370700867,0.8357712200020906,0.1162612941575073,0.8195835306055058,0.1292684649427806,baseline,only_forearm,1,single,forearm
svm,0.6783875690857303,0.1489272022884871,0.6793952312357897,0.1507647680363353,0.6825170282016966,0.1484643394972087,0.6574487159934134,0.1525479196505152,baseline,only_head,1,single,head
svm,0.773547901896139,0.1630098632089586,0.7940417277617926,0.1875078679625472,0.7759834593152222,0.1615863638766557,0.7558751066736671,0.1869384315867061,baseline,only_shin,1,single,shin
svm,0.7088574626295621,0.1344118573152153,0.7122870479673974,0.1414718504723544,0.7143110252555879,0.1322904962513099,0.6737373101409522,0.151795648089862,baseline,only_thigh,1,single,thigh
svm,0.753384792397719,0.1406290357288989,0.7457735142464713,0.1799231335798271,0.762313412907732,0.1410612467527881,0.7184422634225888,0.1658057588042277,baseline,only_upperarm,1,single,upperarm
