model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std
RandomForest,0.8312656513082428,0.1530940223456789,0.8454823583626414,0.18261888572238538,0.8382682191444187,0.1506693241279636,0.819072202431393,0.17392721412703382
SVM,0.8253177954223184,0.15613293744620813,0.8380005055646156,0.15811291579624057,0.8310340113342437,0.1534339333613988,0.8091252832336784,0.17605897032790324
XGBoost,0.8160519427300085,0.14424391552389407,0.8281653305728689,0.1450132639361521,0.8205006432048328,0.14200090878121283,0.7907931044987652,0.16846112288782655
