fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_lying,recall_lying,f1_lying,precision_running,recall_running,f1_running,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_walking,recall_walking,f1_walking
1,random_forest,0.8115183246073299,0.893443135607735,0.8128653735902311,0.8134898761873768,1.0,0.9903614457831326,0.9951573849878934,0.5120711562897078,0.9975247524752475,0.6767422334172963,0.9953051643192489,0.9724770642201835,0.9837587006960556,0.9598393574297188,0.5636792452830188,0.7102526002971769,1.0,0.5402843601895735,0.7015384615384616
1,svm,0.9600190385530699,0.9606118425378767,0.9605278549570985,0.9596435888712979,0.9763593380614657,0.9951807228915662,0.9856801909307876,0.9200913242009132,0.9975247524752475,0.9572446555819477,0.9459459459459459,0.963302752293578,0.9545454545454546,0.9630606860158312,0.8608490566037735,0.9090909090909091,0.9976019184652278,0.985781990521327,0.9916567342073898
1,xgboost,0.9009995240361732,0.9138576881160567,0.9019239692568582,0.8939000927587148,1.0,0.9975903614457832,0.9987937273823885,0.8395833333333333,0.9975247524752475,0.9117647058823529,0.7871559633027523,0.9839449541284404,0.8746177370030581,0.9473684210526315,0.5518867924528302,0.6974664679582713,0.9951807228915662,0.9786729857819905,0.986857825567503
2,random_forest,0.7640966628308401,0.7216342412451362,0.7966823658722436,0.6695279446597205,1.0,0.9975609756097561,0.9987789987789988,0.20817120622568094,0.9907407407407407,0.3440514469453376,1.0,0.9926470588235294,0.996309963099631,0.4,0.0049261083743842365,0.009732360097323601,1.0,0.9975369458128078,0.998766954377312
2,svm,0.9884925201380897,0.9729131678094513,0.9888006160318534,0.9801363788767518,0.9975669099756691,1.0,0.9987819732034104,0.8770491803278688,0.9907407407407407,0.9304347826086956,1.0,0.9877450980392157,0.9938347718865598,0.9899497487437185,0.9704433497536946,0.9800995024875622,1.0,0.9950738916256158,0.9975308641975309
2,xgboost,0.6035673187571922,0.7118224775937352,0.6599200747488978,0.5433952536189578,0.9975609756097561,0.9975609756097561,0.9975609756097561,0.13544303797468354,0.9907407407407407,0.2383073496659243,1.0,0.30637254901960786,0.46904315196998125,0.42857142857142855,0.007389162561576354,0.014527845036319613,0.9975369458128078,0.9975369458128078,0.9975369458128078
3,random_forest,0.8058208276489314,0.8084478565960765,0.8010411350234243,0.7884078121039362,0.9975728155339806,0.9856115107913669,0.991556091676719,0.553763440860215,0.8223552894211577,0.661847389558233,0.9975845410628019,0.9904076738609112,0.9939831528279182,0.5,0.2179176755447942,0.30354131534569984,0.9933184855233853,0.9889135254988913,0.9911111111111112
3,svm,0.7180536607548886,0.7945898483784626,0.7086814619873627,0.6715886103377023,0.976303317535545,0.988009592326139,0.9821215733015495,0.45146520146520147,0.9840319361277445,0.6189579409918393,0.9951807228915662,0.9904076738609112,0.9927884615384616,0.55,0.026634382566585957,0.050808314087759814,1.0,0.5543237250554324,0.7132667617689016
3,xgboost,0.7653478854024557,0.8419343459350062,0.7713711918973412,0.7642249987325045,0.9383561643835616,0.9856115107913669,0.9614035087719298,0.5050505050505051,0.7984031936127745,0.6187161639597835,1.0,0.988009592326139,0.9939686369119421,0.7662650602409639,0.7699757869249395,0.7681159420289855,1.0,0.3148558758314856,0.47892074198988194
4,random_forest,0.7034220532319392,0.7567492276371407,0.7377514083734513,0.6882932570449628,0.5798657718120805,0.9664429530201343,0.7248322147651006,1.0,0.4442836468885673,0.6152304609218436,0.6850828729281768,0.29523809523809524,0.41264559068219636,0.5568022440392707,0.9949874686716792,0.7140287769784173,0.9619952494061758,0.9878048780487805,0.9747292418772563
