fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_lying,recall_lying,f1_lying,precision_running,recall_running,f1_running,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_walking,recall_walking,f1_walking
1,random_forest,0.8415040456925273,0.9007365399649444,0.8426582762655317,0.8435878491398098,0.9832935560859188,0.9927710843373494,0.988009592326139,0.5612813370473537,0.9975247524752475,0.7183600713012478,1.0,0.9770642201834863,0.988399071925754,0.9591078066914498,0.6084905660377359,0.7445887445887446,1.0,0.6374407582938388,0.7785817655571635
1,svm,0.9652546406473108,0.9655003829042327,0.965742499236136,0.965068631793773,0.971764705882353,0.9951807228915662,0.9833333333333333,0.930715935334873,0.9975247524752475,0.9629629629629629,0.9631336405529954,0.9587155963302753,0.960919540229885,0.9642857142857143,0.8915094339622641,0.9264705882352942,0.9976019184652278,0.985781990521327,0.9916567342073898
1,xgboost,0.9267015706806283,0.9357070353537595,0.9274091672701029,0.9251420562438101,0.9975845410628019,0.9951807228915662,0.9963811821471653,0.9285714285714286,0.9975247524752475,0.9618138424821002,0.7981308411214953,0.9793577981651376,0.8795056642636457,0.954248366013072,0.6886792452830188,0.8,1.0,0.976303317535545,0.988009592326139
2,random_forest,0.7721518987341772,0.8123919443825922,0.8035813323553886,0.6847523280476702,1.0,0.9975609756097561,0.9987789987789988,0.21442885771543085,0.9907407407407407,0.3525535420098847,0.9975308641975309,0.9901960784313726,0.993849938499385,0.85,0.04187192118226601,0.07981220657276995,1.0,0.9975369458128078,0.998766954377312
2,svm,0.9907940161104718,0.9810344827586206,0.9907734741406141,0.9856478440673844,1.0,1.0,1.0,0.9224137931034483,0.9907407407407407,0.9553571428571429,1.0,0.9852941176470589,0.9925925925925926,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,0.9950738916256158,0.9975308641975309
2,xgboost,0.6248561565017261,0.8214699916461223,0.6782722432024861,0.5826110960095884,1.0,0.9975609756097561,0.9987789987789988,0.14172185430463577,0.9907407407407407,0.24797219003476245,1.0,0.17892156862745098,0.30353430353430355,0.9680851063829787,0.22413793103448276,0.364,0.9975429975429976,1.0,0.998769987699877
3,random_forest,0.6816734879490678,0.7178974987129568,0.6769844299778908,0.6602146525783359,0.9951573849878934,0.9856115107913669,0.9903614457831326,0.4058536585365854,0.8303393213572854,0.54521625163827,1.0,0.9904076738609112,0.9951807228915662,0.1926605504587156,0.05084745762711865,0.08045977011494253,0.99581589958159,0.5277161862527716,0.6898550724637681
3,svm,0.6780354706684857,0.7921418444050348,0.6696978742646265,0.6285817973027938,0.976303317535545,0.988009592326139,0.9821215733015495,0.41779661016949154,0.9840319361277445,0.5865556216537775,0.9951807228915662,0.9904076738609112,0.9927884615384616,0.5714285714285714,0.029055690072639227,0.055299539170506916,1.0,0.35698447893569846,0.5261437908496732
3,xgboost,0.8190086402910414,0.8689275560173984,0.8264692777876267,0.8201992411075942,0.9602803738317757,0.9856115107913669,0.9727810650887574,0.583941605839416,0.7984031936127745,0.6745362563237775,1.0,0.9904076738609112,0.9951807228915662,0.8004158004158004,0.9322033898305084,0.8612975391498882,1.0,0.42572062084257206,0.5972006220839814
4,random_forest,0.7266582171525138,0.7712904627303391,0.7624601341435002,0.7264124990118083,0.6490963855421686,0.9642058165548099,0.7758775877587759,0.9936102236421726,0.45007235890014474,0.6195219123505976,0.711340206185567,0.4928571428571429,0.5822784810126582,0.540500736377025,0.9197994987468672,0.6808905380333952,0.9619047619047619,0.9853658536585366,0.9734939759036144
4,svm,0.8318546683565695,0.8536929437498051,0.870425609141334,0.8398130840074092,0.8816326530612245,0.9664429530201343,0.9220917822838848,0.9973045822102425,0.5354558610709117,0.696798493408663,0.8407079646017699,0.9047619047619048,0.8715596330275229,0.6205787781350482,0.9674185463659147,0.7561214495592556,0.9282407407407407,0.9780487804878049,0.9524940617577197
