fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_lying,recall_lying,f1_lying,precision_running,recall_running,f1_running,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_walking,recall_walking,f1_walking
1,RandomForest,0.8952879581151832,0.9013260228433019,0.8965643847381248,0.8919134506061976,0.8964757709251101,0.980722891566265,0.9367088607594937,0.9392523364485982,0.995049504950495,0.9663461538461539,0.77734375,0.9128440366972477,0.8396624472573839,0.9103448275862069,0.6226415094339622,0.7394957983193278,0.9832134292565947,0.9715639810426541,0.9773539928486293
1,SVM,0.8914802475011899,0.8987901938493694,0.8929212816616268,0.8888047496919084,0.791015625,0.9759036144578314,0.8737864077669902,0.9781553398058253,0.9975247524752475,0.9877450980392157,0.8290598290598291,0.8899082568807339,0.8584070796460177,0.9054054054054054,0.6320754716981132,0.7444444444444445,0.9903147699757869,0.9691943127962085,0.9796407185628743
1,XGBoost,0.8814850071394574,0.890012126632295,0.8832817135338885,0.8775988297236456,0.864693446088795,0.9855421686746988,0.9211711711711712,0.8915929203539823,0.9975247524752475,0.9415887850467289,0.7618069815195072,0.8509174311926605,0.8039003250270856,0.9416058394160584,0.6084905660377359,0.7392550143266475,0.9903614457831326,0.9739336492890995,0.982078853046595
2,RandomForest,0.8239355581127733,0.8321072346384947,0.8486430088342225,0.7649564339561129,0.9572446555819477,0.9829268292682927,0.9699157641395909,0.2845744680851064,0.9907407407407407,0.44214876033057854,0.9504132231404959,0.2818627450980392,0.43478260869565216,0.9852941176470589,0.9901477832512315,0.9877149877149877,0.9830097087378641,0.9975369458128078,0.9902200488997555
2,SVM,0.9424626006904487,0.9126619979859327,0.9482518741540163,0.9255435911395462,0.9516908212560387,0.9609756097560975,0.9563106796116505,0.7066666666666667,0.9814814814814815,0.8217054263565892,0.9297297297297298,0.8431372549019608,0.884318766066838,0.9777227722772277,0.9729064039408867,0.9753086419753086,0.9975,0.9827586206896551,0.9900744416873449
2,XGBoost,0.832566168009206,0.8252249411095323,0.8559935823689347,0.775200380739444,0.8653846153846154,0.9878048780487805,0.9225512528473804,0.3396825396825397,0.9907407407407407,0.5059101654846335,0.9548872180451128,0.3112745098039216,0.46950092421441775,0.9710843373493976,0.9926108374384236,0.9817295980511571,0.995085995085995,0.9975369458128078,0.996309963099631
3,RandomForest,0.7507958162801274,0.8096904465676655,0.7449109875093043,0.6906843531043613,0.9473684210526315,0.08633093525179857,0.15824175824175823,0.95260663507109,0.8023952095808383,0.8710725893824486,0.5798319327731093,0.9928057553956835,0.7320954907161804,0.6578947368421053,0.847457627118644,0.7407407407407407,0.9107505070993914,0.9955654101995566,0.951271186440678
3,SVM,0.739881764438381,0.7255181731129424,0.7342937922669309,0.6692815683745891,0.4444444444444444,0.009592326139088728,0.018779342723004695,0.9515738498789347,0.7844311377245509,0.8599562363238512,0.49282296650717705,0.988009592326139,0.6576217079010375,0.7876857749469215,0.8983050847457628,0.8393665158371041,0.951063829787234,0.991130820399113,0.9706840390879479
3,XGBoost,0.922237380627558,0.9242943116006694,0.9259172303762844,0.9235458567502292,0.9950124688279302,0.9568345323741008,0.9755501222493888,0.9197247706422018,0.8003992015968064,0.855923159018143,0.9452054794520548,0.9928057553956835,0.968421052631579,0.7939262472885033,0.8861985472154964,0.8375286041189931,0.9676025917926566,0.9933481152993349,0.9803063457330415
4,RandomForest,0.6696239966201943,0.7059149490693454,0.7016534439260932,0.6697505797756188,0.6002906976744186,0.9239373601789709,0.7277533039647577,0.9859649122807017,0.40665701881331406,0.5758196721311475,0.5618811881188119,0.5404761904761904,0.5509708737864077,0.4843462246777164,0.6591478696741855,0.5583864118895966,0.8970917225950783,0.9780487804878049,0.9358226371061844
