fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_lying,recall_lying,f1_lying,precision_running,recall_running,f1_running,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_walking,recall_walking,f1_walking
1,RandomForest,0.8600666349357449,0.8841919093006503,0.8610979471958456,0.8422126517045738,0.9878934624697336,0.983132530120482,0.9855072463768116,0.7736220472440944,0.9727722772277227,0.8618421052631579,0.7400346620450606,0.9793577981651376,0.843040473840079,0.9585798816568047,0.38207547169811323,0.5463743676222597,0.9608294930875576,0.9881516587677726,0.9742990654205608
1,SVM,0.8914802475011899,0.9077756242806746,0.8911917885825884,0.8886102781114461,0.9809976247030879,0.9951807228915662,0.9880382775119617,0.9585635359116023,0.8589108910891089,0.9060052219321149,0.7575221238938054,0.981651376146789,0.8551448551448552,0.96415770609319,0.6344339622641509,0.7652916073968705,0.8776371308016878,0.985781990521327,0.9285714285714286
1,XGBoost,0.8362684435982866,0.8705219103146069,0.8376725743148776,0.8017259375992236,0.9832935560859188,0.9927710843373494,0.988009592326139,0.6832191780821918,0.9876237623762376,0.8076923076923077,0.7579505300353356,0.9839449541284404,0.8562874251497006,0.9514563106796117,0.23113207547169812,0.3719165085388994,0.9766899766899767,0.9928909952606635,0.9847238542890717
2,RandomForest,0.7301495972382048,0.6527529752449219,0.7699531301166387,0.6473235725789271,0.9903147699757869,0.9975609756097561,0.9939246658566221,0.19320214669051877,1.0,0.3238380809595202,0.09090909090909091,0.0024509803921568627,0.00477326968973747,0.9942528735632183,0.8522167487684729,0.9177718832891246,0.995085995085995,0.9975369458128078,0.996309963099631
2,SVM,0.956271576524741,0.9218266088875602,0.9612602895564356,0.9347146662379175,1.0,1.0,1.0,0.66875,0.9907407407407407,0.7985074626865671,0.964824120603015,0.9411764705882353,0.9528535980148883,0.978021978021978,0.8768472906403941,0.9246753246753247,0.9975369458128078,0.9975369458128078,0.9975369458128078
2,XGBoost,0.6311852704257768,0.7211428571428571,0.6852216513182228,0.5543147016870144,0.7790476190476191,0.9975609756097561,0.8748663101604278,0.17142857142857143,1.0,0.2926829268292683,0.6666666666666666,0.004901960784313725,0.009732360097323601,0.9885714285714285,0.42610837438423643,0.5955249569707401,1.0,0.9975369458128078,0.998766954377312
3,RandomForest,0.7812642110050023,0.8605399004307245,0.7759105424787156,0.7405828365499223,1.0,0.9856115107913669,0.9927536231884058,0.9925373134328358,0.7964071856287425,0.8837209302325582,0.4715261958997722,0.9928057553956835,0.6393822393822394,0.8518518518518519,0.11138014527845036,0.19700214132762311,0.986784140969163,0.9933481152993349,0.9900552486187846
3,SVM,0.9376989540700318,0.9405682713695235,0.9425847575860485,0.9390857718964449,0.9879227053140096,0.9808153477218226,0.9843561973525873,0.9545454545454546,0.7964071856287425,0.8683351468988031,0.8202479338842975,0.9520383693045563,0.881243063263041,0.9511627906976744,0.9903147699757869,0.970344009489917,0.9889624724061811,0.9933481152993349,0.9911504424778761
3,XGBoost,0.8340154615734425,0.8937695475738142,0.8319064706489702,0.8254057555114513,1.0,0.9808153477218226,0.9903147699757869,0.9780487804878049,0.8003992015968064,0.8803512623490669,0.5453333333333333,0.9808153477218226,0.700942587832048,0.9651162790697675,0.4019370460048426,0.5675213675213675,0.980349344978166,0.9955654101995566,0.9878987898789879
4,RandomForest,0.6231516687790452,0.581109740316782,0.6515997342290978,0.6060844286147453,0.9729119638826185,0.9642058165548099,0.9685393258426966,0.47346938775510206,0.3357452966714906,0.392887383573243,0.6655518394648829,0.9476190476190476,0.7819253438113949,0.03278688524590164,0.02506265664160401,0.028409090909090908,0.7608286252354048,0.9853658536585366,0.8586609989373007
4,SVM,0.527672158850866,0.5340624622651167,0.5412896271328457,0.5311331088317524,0.9352051835853131,0.9686800894854586,0.9516483516483516,0.5265392781316348,0.3589001447178003,0.4268502581755594,0.39664804469273746,0.3380952380952381,0.36503856041131105,0.04710144927536232,0.06516290726817042,0.054679284963196635,0.7648183556405354,0.975609756097561,0.857449088960343
4,XGBoost,0.6430080270384453,0.5964479887330647,0.6706294428228163,0.6225982740678097,0.8762677484787018,0.9664429530201343,0.9191489361702128,0.5373134328358209,0.36468885672937773,0.43448275862068964,0.6840336134453782,0.969047619047619,0.8019704433497536,0.0858085808580858,0.06516290726817042,0.07407407407407407,0.7988165680473372,0.9878048780487805,0.8833151581243184
5,RandomForest,0.6880064829821718,0.6695897497636866,0.6867157891989724,0.6556610242888148,0.9578713968957872,0.9840546697038725,0.9707865168539326,0.9334763948497854,0.5886332882273342,0.7219917012448133,0.4274099883855981,0.8498845265588915,0.5687789799072643,0.05726872246696035,0.0327455919395466,0.041666666666666664,0.9719222462203023,0.9782608695652174,0.9750812567713976
5,SVM,0.7021880064829822,0.6563736574247894,0.6982158697713515,0.6572039308743447,0.9907834101382489,0.979498861047836,0.9851088201603666,0.8225806451612904,0.6211096075778079,0.707787201233616,0.4465909090909091,0.9076212471131639,0.5986290936785986,0.050359712230215826,0.017632241813602016,0.026119402985074626,0.9715536105032823,0.9652173913043478,0.9683751363140676
5,XGBoost,0.7034035656401945,0.6311629187237229,0.6999753180265385,0.6463533304755504,0.8193916349809885,0.9817767653758542,0.8932642487046633,0.8478664192949907,0.618403247631935,0.7151799687010955,0.4987593052109181,0.9284064665127021,0.648910411622276,0.03731343283582089,0.012594458438287154,0.018832391713747645,0.9524838012958964,0.9586956521739131,0.9555796316359697
6,RandomForest,0.625,0.6461069066304667,0.6258152947119641,0.5733314576859477,0.990521327014218,0.9835294117647059,0.987012987012987,0.5466155810983397,0.9749430523917996,0.7004909983633388,0.5625,0.020689655172413793,0.03991130820399113,0.13572854291417166,0.1619047619047619,0.1476655808903366,0.9951690821256038,0.988009592326139,0.9915764139590855
6,SVM,0.4756554307116105,0.5118990372509212,0.4755774598251034,0.45124641988449826,0.9675324675324676,0.35058823529411764,0.5146804835924007,0.5158924205378973,0.9612756264236902,0.6714399363564041,0.02413793103448276,0.016091954022988506,0.019310344827586208,0.05434782608695652,0.05952380952380952,0.056818181818181816,0.9975845410628019,0.9904076738609112,0.9939831528279182
6,XGBoost,0.6132958801498127,0.5747669754774379,0.6139698485927226,0.5572725172065998,0.9905437352245863,0.9858823529411764,0.9882075471698113,0.5342465753424658,0.9772209567198178,0.6908212560386473,0.26666666666666666,0.009195402298850575,0.017777777777777778,0.09433962264150944,0.10714285714285714,0.10033444816053512,0.9880382775119617,0.9904076738609112,0.9892215568862276
7,RandomForest,0.6502507979936161,0.7821596397618019,0.6375980125273615,0.5822063363638043,0.9905882352941177,0.9767981438515081,0.9836448598130841,0.4972253052164262,0.9218106995884774,0.6459985580389329,0.9,0.10465116279069768,0.1875,0.5829846582984658,0.954337899543379,0.7238095238095238,0.94,0.23039215686274508,0.3700787401574803
7,SVM,0.6917464660282717,0.7563367140643681,0.6947256373969312,0.6797006161479588,0.6719745222929936,0.9791183294663574,0.7969782813975449,0.6135265700483091,0.522633744855967,0.5644444444444444,0.9176470588235294,0.3627906976744186,0.52,0.5859154929577465,0.9497716894977168,0.7247386759581882,0.992619926199262,0.6593137254901961,0.792341678939617
7,XGBoost,0.7140902872777017,0.6878681927737746,0.707558810777364,0.6549782514849543,0.9837209302325581,0.9814385150812065,0.9825783972125436,0.6394849785407726,0.9197530864197531,0.7544303797468355,0.4375,0.04883720930232558,0.08786610878661087,0.604261796042618,0.906392694063927,0.7251141552511415,0.7743732590529248,0.6813725490196079,0.7249022164276402
8,RandomForest,0.34702549575070823,0.23898541500209905,0.3564593301435407,0.26354258354258353,0.20222634508348794,0.7822966507177034,0.32137592137592136,0.9927007299270073,1.0,0.9963369963369964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,SVM,0.27431539187913123,0.22712297293499342,0.2822943052819214,0.23273759869887986,0.1383322559793148,0.5119617224880383,0.2178117048346056,0.9972826086956522,0.8995098039215687,0.9458762886597938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,XGBoost,0.3149197355996223,0.22531930601698047,0.3238413547237077,0.24783984745504495,0.17183462532299743,0.6363636363636364,0.2706002034587996,0.9547619047619048,0.9828431372549019,0.9685990338164251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,RandomForest,0.7551662174303684,0.7359367743395671,0.7577624578490608,0.7227378116631461,0.9951456310679612,0.9855769230769231,0.9903381642512077,0.9975,0.7375231053604436,0.8480340063761955,0.5181159420289855,1.0,0.6825775656324582,0.18562874251497005,0.07294117647058823,0.10472972972972973,0.9832935560859188,0.9927710843373494,0.988009592326139
9,SVM,0.7461814914645103,0.7001876897980941,0.7481939999577804,0.702468395688385,0.9627906976744186,0.9951923076923077,0.9787234042553191,0.9925742574257426,0.7412199630314233,0.8486772486772487,0.5035294117647059,0.9976689976689976,0.6692728694292416,0.046875,0.01411764705882353,0.0216998191681736,0.9951690821256038,0.9927710843373494,0.9939686369119421
9,XGBoost,0.7906558849955077,0.8003974413000459,0.7948595464401244,0.7751033501428104,0.9975728155339806,0.9879807692307693,0.9927536231884058,0.9950248756218906,0.7393715341959335,0.848356309650053,0.5637319316688568,1.0,0.7210084033613445,0.4692982456140351,0.25176470588235295,0.327718223583461,0.9763593380614657,0.9951807228915662,0.9856801909307876
10,RandomForest,0.8376349131862975,0.8575766192788574,0.8407065673642193,0.8257436936997594,0.9951219512195122,0.96,0.9772455089820359,0.6235119047619048,0.9858823529411764,0.763901549680948,0.9006928406466512,0.9198113207547169,0.9101516919486581,0.7733990147783252,0.35926773455377575,0.490625,0.9951573849878934,0.9785714285714285,0.9867947178871549
10,SVM,0.8005631159080244,0.8205829915782736,0.799750782641108,0.7643686663156505,0.9760765550239234,0.96,0.9679715302491103,0.9788235294117648,0.9788235294117648,0.9788235294117648,0.6190476190476191,0.12264150943396226,0.2047244094488189,0.5289672544080605,0.9610983981693364,0.6823720552396426,1.0,0.9761904761904762,0.9879518072289156
10,XGBoost,0.7738151102768653,0.7574232113923813,0.7784163055663093,0.7323611246305304,0.9927007299270073,0.96,0.9760765550239234,0.5029940119760479,0.9882352941176471,0.6666666666666666,0.9650872817955112,0.9127358490566038,0.9381818181818182,0.3287671232876712,0.05491990846681922,0.09411764705882353,0.9975669099756691,0.9761904761904762,0.98676293622142
11,RandomForest,0.783451536643026,0.7971074374081774,0.781215086931561,0.7251304286937567,0.9004237288135594,0.9815242494226328,0.9392265193370166,0.9505882352941176,0.9853658536585366,0.9676646706586827,0.5058977719528178,0.9323671497584541,0.6559048428207307,0.6333333333333333,0.045454545454545456,0.08482142857142858,0.9952941176470588,0.9613636363636363,0.9780346820809248
11,SVM,0.8085106382978723,0.822873926827387,0.8063766097253195,0.7734696415642424,0.9814385150812065,0.976905311778291,0.9791666666666666,0.7122302158273381,0.9658536585365853,0.8198757763975155,0.6475694444444444,0.9009661835748792,0.7535353535353535,0.7982456140350878,0.21770334928229665,0.34210526315789475,0.9748858447488584,0.9704545454545455,0.9726651480637813
11,XGBoost,0.8085106382978723,0.8580415823511526,0.8064994807505783,0.7619290036623679,0.6514459665144596,0.9884526558891455,0.7853211009174312,0.9619047619047619,0.9853658536585366,0.9734939759036144,0.7174311926605504,0.9444444444444444,0.8154327424400417,0.96875,0.14832535885167464,0.2572614107883817,0.9906759906759907,0.9659090909090909,0.9781357882623706
12,RandomForest,0.7503635482307319,0.6758399781769346,0.7505968305327153,0.6979141502369789,1.0,0.9854721549636803,0.9926829268292683,0.5486486486486486,0.9926650366748166,0.7067014795474326,0.052083333333333336,0.012077294685990338,0.0196078431372549,0.7857142857142857,0.7818627450980392,0.7837837837837838,0.9927536231884058,0.9809069212410502,0.9867947178871549
12,SVM,0.7765390208434318,0.6944373032727464,0.7770390016040424,0.7108814473623214,0.9783653846153846,0.9854721549636803,0.9819059107358263,0.6789297658862876,0.9926650366748166,0.8063555114200596,0.1956521739130435,0.021739130434782608,0.0391304347826087,0.6264855687606112,0.9044117647058824,0.7402206619859579,0.9927536231884058,0.9809069212410502,0.9867947178871549
12,XGBoost,0.7300048473097431,0.7328145745749831,0.7295387120781254,0.6992087174891944,0.8385093167701864,0.9806295399515739,0.9040178571428571,0.5538881309686221,0.9926650366748166,0.7110332749562172,0.355,0.17149758454106281,0.23127035830618892,0.9380530973451328,0.5196078431372549,0.668769716088328,0.9786223277909739,0.9832935560859188,0.9809523809523809
