model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std
RandomForest,0.8233406347747637,0.1504740781735977,0.8637693813149965,0.10575454335580725,0.8320807520621576,0.14829587521988744,0.8028155110047609,0.1845849545722824
SVM,0.8465935433210596,0.12387030567166463,0.8548249239072775,0.13637426416393497,0.8519171972342006,0.12153541246796204,0.8325009434107523,0.139808024900644
XGBoost,0.8041463342882346,0.12213847643810699,0.8268537204825905,0.1135085859262454,0.8114483357501325,0.11957793300372294,0.7761321857758495,0.1469947121733766
